,caption,caption_list
27,"RT @LePro_1:  Make Art Not War! 

Crypto Cannabis Art Collection at @OpenSea 
1/1 hand-drawn illustrations of cannabis flowers 

#","['make', 'art', 'crypto', 'cannabis', 'art', 'collection', '1/1', 'hand-drawn', 'illustrations', 'cannabis', 'flowers']"
28,"RT @LePro_1:  Make Art Not War! 

Crypto Cannabis Art Collection at @OpenSea 
1/1 hand-drawn illustrations of cannabis flowers 

#","['make', 'art', 'crypto', 'cannabis', 'art', 'collection', '1/1', 'hand-drawn', 'illustrations', 'cannabis', 'flowers']"
117,"""For too long, our courts haven't looked like America,"" @POTUS says as he announces 1st Black woman nominee for https://t.co/LJYkeBTZFx","['``', 'long', 'courts', ""n't"", 'looked', 'like', 'america', ""''"", 'says', 'announces', '1st', 'black', 'woman', 'nominee', 'https', '//t.co/ljykebtzfx']"
309,"RT @ricktroche333: If you haven't heard now you have@secretseshnfts @StonerApeClub @CryptoCannaClub 
.
.
.
#Secret #Ethereum #cry","[""n't"", 'heard', 'secretseshnfts', 'secret', 'ethereum', 'cry']"
360,RT @AngelOfCannabis: Stop right there! #StonerFam #smokeweed #CannabisCommunity https://t.co/bIGqhJj89X,"['stop', 'right', 'stonerfam', 'smokeweed', 'cannabiscommunity', 'https', '//t.co/bigqhjj89x']"
612,RT @KannabiaSeeds:  LA BLANCA by #KannabiaSeeds  @IntKannabia @Kannabia_Samen @Kannabia_US  Gracias a la amiga #kannabista @Sophie_MJ ,"['blanca', 'gracias', 'amiga', 'kannabista']"
613,RT @KannabiaSeeds:  LA BLANCA by #KannabiaSeeds  @IntKannabia @Kannabia_Samen @Kannabia_US  Gracias a la amiga #kannabista @Sophie_MJ ,"['blanca', 'gracias', 'amiga', 'kannabista']"
614,RT @KannabiaSeeds:  LA BLANCA by #KannabiaSeeds  @IntKannabia @Kannabia_Samen @Kannabia_US  Gracias a la amiga #kannabista @Sophie_MJ ,"['blanca', 'gracias', 'amiga', 'kannabista']"
615,RT @KannabiaSeeds:  LA BLANCA by #KannabiaSeeds  @IntKannabia @Kannabia_Samen @Kannabia_US  Gracias a la amiga #kannabista @Sophie_MJ ,"['blanca', 'gracias', 'amiga', 'kannabista']"
621,"RT @GrowthFi: ""Entrenched in purpose: "" Founders of Viola and Gold Standard Farms live out their Black family legacies in the cannabis indu","['``', 'entrenched', 'purpose', '``', 'founders', 'viola', 'gold', 'standard', 'farms', 'live', 'black', 'family', 'legacies', 'cannabis', 'indu']"
630,"RT @KannabiaSeeds:  GNOMO AUTO  by #KannabiaSeeds @IntKannabia @Kannabia_US
 Gracias a un annimo amigo #kannabista 
 #GnomoAuto","['gnomo', 'auto', 'gracias', 'annimo', 'amigo', 'kannabista', 'gnomoauto']"
631,"RT @KannabiaSeeds:  GNOMO AUTO  by #KannabiaSeeds @IntKannabia @Kannabia_US
 Gracias a un annimo amigo #kannabista 
 #GnomoAuto","['gnomo', 'auto', 'gracias', 'annimo', 'amigo', 'kannabista', 'gnomoauto']"
632,"RT @KannabiaSeeds:  GNOMO AUTO  by #KannabiaSeeds @IntKannabia @Kannabia_US
 Gracias a un annimo amigo #kannabista 
 #GnomoAuto","['gnomo', 'auto', 'gracias', 'annimo', 'amigo', 'kannabista', 'gnomoauto']"
639,"RT @KannabiaSeeds:  COOKIES HAZE by #KannabiaSeeds  @IntKannabia @Kannabia_US
 Gracias al amigo #kannabista @perrymason420 
 #Coo","['cookies', 'haze', 'gracias', 'amigo', 'kannabista', 'coo']"
640,"RT @KannabiaSeeds:  COOKIES HAZE by #KannabiaSeeds  @IntKannabia @Kannabia_US
 Gracias al amigo #kannabista @perrymason420 
 #Coo","['cookies', 'haze', 'gracias', 'amigo', 'kannabista', 'coo']"
641,"RT @KannabiaSeeds:  COOKIES HAZE by #KannabiaSeeds  @IntKannabia @Kannabia_US
 Gracias al amigo #kannabista @perrymason420 
 #Coo","['cookies', 'haze', 'gracias', 'amigo', 'kannabista', 'coo']"
648,RT @GrowthFi: Best HHC Cigarettes : Top Brands To Buy Hemp Cigarettes In 2022 | Best HHC Products From Strongest Weed Strains https://t.co/,"['best', 'hhc', 'cigarettes', 'top', 'brands', 'buy', 'hemp', 'cigarettes', '2022', 'best', 'hhc', 'products', 'strongest', 'weed', 'strains', 'https', '//t.co/']"
