,Message,Tweet Favorite Count,Retweet Count,Created At,Username,Likes,User Description,Following,Followers
0,They officially renamed Marjorie Taylor Greene now Marjorie Failure Greene such an uninformed typical republican st… https://t.co/Uf514tCBNU,0,0,2022-02-27 20:20:53+00:00,democracy_16,90380,"“You have brains in your head. 
You have feet in your shoes. 
You can steer yourself any direction you choose🧠❤️...”  ― Dr. Seuss, Oh, The Places You'll Go!",1805,1179
1,"#Cannabis 550 nutrients we can not eat
#Abortion is #Healthcare we do not have Access
We did get International Chil… https://t.co/uOIaxRNtj6",0,0,2022-02-27 19:37:43+00:00,MimiTexasAngel,364137,Cannabinoids regulate cells. Cannabis has 550 nutrients to support health. Plants are Foods. Truth is Power. No Grow No FREEDOM ~ Eat to Heal Nations,4337,5428
2,"I agree with Grifter Mitt Romney MTG is a moron ~
She is not the only one ~
Bipartisan Conservative Lawmakers fail… https://t.co/tsm3k2S0m0",0,0,2022-02-27 18:44:14+00:00,MimiTexasAngel,364137,Cannabinoids regulate cells. Cannabis has 550 nutrients to support health. Plants are Foods. Truth is Power. No Grow No FREEDOM ~ Eat to Heal Nations,4337,5428
3,#cannabiscommunity #marijuana #cannabis Oklahoma Gov. Implies Voters Didn’t Fully Comprehend Medical Marijuana Bill… https://t.co/80VrSNJxEK,1,2,2022-02-27 17:52:58+00:00,MMPconnect,4097,"Breaking #Cannabis #News. Strain Reviews, medical #marijuana related content from our community, informative articles on #Strains #THC & #CBD",6983,17304
4,"#MedicareForAll of course we can afford #Healthcare for all Americans ~ 
#Cannabis 550 nutrients no one can eat 
Ji… https://t.co/QiyQh9ttoh",2,0,2022-02-27 17:22:47+00:00,MimiTexasAngel,364137,Cannabinoids regulate cells. Cannabis has 550 nutrients to support health. Plants are Foods. Truth is Power. No Grow No FREEDOM ~ Eat to Heal Nations,4337,5428
5,"Jim Crow, #Fascism by Rule of Law 
State Rights to assassinate Citizens with Impunity 
Marijuana Prohibition prohib… https://t.co/gSrvgevV6p",1,0,2022-02-27 14:22:06+00:00,MimiTexasAngel,364137,Cannabinoids regulate cells. Cannabis has 550 nutrients to support health. Plants are Foods. Truth is Power. No Grow No FREEDOM ~ Eat to Heal Nations,4337,5428
6,"@chefLCraig70 Maybe. Go slow, be conservative&amp;consult your psychopharmacologist for specific meds that work with ea… https://t.co/QzlQh6dmel",2,0,2022-02-27 13:55:30+00:00,LiliaDarkStar,41308,"#Autism mom/author: @PsychToday @nytimes. 3 GREAT sons. Obsessed w/Grateful Dead&lyrics, bellydance. Happily married. LEFT WING https://t.co/Wd9n8fpLvM for my writing.",953,3587
7,#cannabiscommunity #marijuana #cannabis SC state senator brings medical marijuana bill to chamber floor after years… https://t.co/1OvGHVUBvs,1,0,2022-02-27 13:03:01+00:00,MMPconnection,4560,Join Our #medicalmarijuana community read Breaking Cannabis & Business news informative articles on #CBD #THC All things #marijuana https://t.co/HzfybLd58O,13165,23413
8,#cannabiscommunity #marijuana #cannabis Oklahoma Gov. Implies Voters Didn’t Fully Comprehend Medical Marijuana Bill… https://t.co/R6SPj08b7T,1,0,2022-02-27 12:37:58+00:00,MMPconnection,4560,Join Our #medicalmarijuana community read Breaking Cannabis & Business news informative articles on #CBD #THC All things #marijuana https://t.co/HzfybLd58O,13165,23413
9,RT @MMPconnect: #cannabiscommunity #marijuana #cannabis SC state senator brings medical marijuana bill to chamber floor after years of effo…,0,2,2022-02-27 11:27:59+00:00,Etiquette246,91,,1526,321
10,#cannabiscommunity #marijuana #cannabis Marijuana bills stall in Virginia’s GOP-controlled House… https://t.co/Emi4gkuEzq,1,1,2022-02-27 11:22:59+00:00,MMPconnect,4097,"Breaking #Cannabis #News. Strain Reviews, medical #marijuana related content from our community, informative articles on #Strains #THC & #CBD",6983,17304
11,#JackTheRipper! #PreRoll #Cannabis #iG #Florida #PPP! #TRUMP #World #USA! $BTC $GBTC #Premium #Bitcoin &amp; #GOLD Bull… https://t.co/FahjDK9Wb4,0,0,2022-02-27 10:31:07+00:00,DJWarrenYoung,442350,"I DJ, play the piano, I'm a drummer, life is #syncopated I get along with #Jitter and my natural talent is using #chopsticks IG: DJRT",21056,26094
