,User_A,User_B,Type,Source
0,@Gambiste1,@SuperDuperlnvts,Retweet,Democratic
1,@SuperDuperlnvts,@SuperDuperlnvts,Tweet,Democratic
2,@MimiTexasAngel,@MimiTexasAngel,Tweet,Democratic
3,@MimiTexasAngel,@MimiTexasAngel,Tweet,Republican
4,@MimiTexasAngel,@MimiTexasAngel,Tweet,Public
5,@MMPconnection,@MMPconnection,Tweet,Democratic
6,@MMPconnection,@MMPconnection,Tweet,Republican
7,@MMPconnection,@MMPconnection,Tweet,Public
8,@worldcannanews1,@MMPconnect,Retweet,Democratic
9,@worldcannanews1,@MMPconnect,Retweet,Republican
10,@worldcannanews1,@MMPconnect,Retweet,Public
11,@MMPconnect,@MMPconnect,Tweet,Democratic
12,@MMPconnect,@MMPconnect,Tweet,Republican
13,@MMPconnect,@MMPconnect,Tweet,Public
14,@GrainneOReilly9,@GrainneOReilly9,Tweet,Democratic
15,@worldcannanews1,@MMPconnection,Retweet,Democratic
16,@worldcannanews1,@MMPconnection,Retweet,Republican
17,@worldcannanews1,@MMPconnection,Retweet,Public
18,@MMPconnection,@MMPconnection,Tweet,Democratic
19,@MMPconnection,@MMPconnection,Tweet,Republican
20,@MMPconnection,@MMPconnection,Tweet,Public
21,@CannabisBizNews,@CannabisBizNews,Tweet,Democratic
22,@CannabisBizNews,@CannabisBizNews,Tweet,Republican
23,@CannabisBizNews,@CannabisBizNews,Tweet,Public
24,@Kennedy74592523,@MMJHealthcare,Retweet,Democratic
25,@galactic_ditto,@rikki_5,Retweet,Democratic
26,@galactic_ditto,@rikki_5,Retweet,Public
27,@rikki_5,@rikki_5,Tweet,Democratic
28,@MimiTexasAngel,@StateDept,Mention,Democratic
29,@MimiTexasAngel,@StateDept,Mention,Republican
30,@MimiTexasAngel,@StateDept,Mention,Public
31,@MimiTexasAngel,@ENERGY,Mention,Democratic
32,@MimiTexasAngel,@ENERGY,Mention,Republican
33,@MimiTexasAngel,@ENERGY,Mention,Public
34,@MimiTexasAngel,@WhiteHouse,Mention,Democratic
35,@MimiTexasAngel,@WhiteHouse,Mention,Republican
36,@MimiTexasAngel,@WhiteHouse,Mention,Public
37,@MimiTexasAngel,@MimiTexasAngel,Tweet,Democratic
38,@MimiTexasAngel,@MimiTexasAngel,Tweet,Republican
39,@MimiTexasAngel,@MimiTexasAngel,Tweet,Public
40,@WadeTurnbull,@MimiTexasAngel,Retweet,Democratic
41,@MimiTexasAngel,@MimiTexasAngel,Tweet,Democratic
42,@MimiTexasAngel,@MimiTexasAngel,Tweet,Republican
43,@MimiTexasAngel,@MimiTexasAngel,Tweet,Public
44,@metaphorensics,@Potus,Mention,Democratic
45,@MMJHealthcare,@MMJHealthcare,Tweet,Democratic
46,@MMJHealthcare,@MMJHealthcare,Tweet,Republican
47,@MMJHealthcare,@MMJHealthcare,Tweet,Public
