,0,1,2
0,2022-02-27 02:50:35+00:00,"RT @JaworskiForTX: I'm Joe, former mayor of Galveston &amp; grandson of Watergate prosecutor Leon Jaworski. I'm a Democrat running against crim…","User(_api=<tweepy.api.API object at 0x000002B81A74AE50>, _json={'id': 732755657166888960, 'id_str': '732755657166888960', 'name': 'Denise Webb', 'screen_name': 'Denise_D_W', 'location': '', 'description': 'Mom of 4 voters, Get Outdoors, #Resist #BlueWave #FamiliesBelongTogether #VoteDem #PRU member 🇺🇦', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 5724, 'friends_count': 6192, 'listed_count': 3, 'created_at': 'Wed May 18 02:12:17 +0000 2016', 'favourites_count': 90036, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 49618, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1005502193980432384/KK5B55qM_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1005502193980432384/KK5B55qM_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/732755657166888960/1645733934', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}, id=732755657166888960, id_str='732755657166888960', name='Denise Webb', screen_name='Denise_D_W', location='', description='Mom of 4 voters, Get Outdoors, #Resist #BlueWave #FamiliesBelongTogether #VoteDem #PRU member 🇺🇦', url=None, entities={'description': {'urls': []}}, protected=False, followers_count=5724, friends_count=6192, listed_count=3, created_at=datetime.datetime(2016, 5, 18, 2, 12, 17, tzinfo=datetime.timezone.utc), favourites_count=90036, utc_offset=None, time_zone=None, geo_enabled=False, verified=False, statuses_count=49618, lang=None, contributors_enabled=False, is_translator=False, is_translation_enabled=False, profile_background_color='F5F8FA', profile_background_image_url=None, profile_background_image_url_https=None, profile_background_tile=False, profile_image_url='http://pbs.twimg.com/profile_images/1005502193980432384/KK5B55qM_normal.jpg', profile_image_url_https='https://pbs.twimg.com/profile_images/1005502193980432384/KK5B55qM_normal.jpg', profile_banner_url='https://pbs.twimg.com/profile_banners/732755657166888960/1645733934', profile_link_color='1DA1F2', profile_sidebar_border_color='C0DEED', profile_sidebar_fill_color='DDEEF6', profile_text_color='333333', profile_use_background_image=True, has_extended_profile=False, default_profile=True, default_profile_image=False, following=False, follow_request_sent=False, notifications=False, translator_type='none', withheld_in_countries=[])"
1,2022-02-27 02:50:27+00:00,"The coronavirus was defeated by Russia verses Ukraine.

Just ask Joe Biden who is a shill for Putin.  Hell, ask the… https://t.co/eF9jUJtHT4","User(_api=<tweepy.api.API object at 0x000002B81A74AE50>, _json={'id': 1482779864104984576, 'id_str': '1482779864104984576', 'name': 'Discernable Kitten ⭐', 'screen_name': 'BlackRouge16', 'location': '', 'description': 'Anti-Communist. Anti-Socialist. Anti-Nihilist.', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 2, 'friends_count': 16, 'listed_count': 0, 'created_at': 'Sun Jan 16 18:21:01 +0000 2022', 'favourites_count': 208, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 365, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1489079289156759553/bJ-0bRgW_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1489079289156759553/bJ-0bRgW_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1482779864104984576/1644380362', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}, id=1482779864104984576, id_str='1482779864104984576', name='Discernable Kitten ⭐', screen_name='BlackRouge16', location='', description='Anti-Communist. Anti-Socialist. Anti-Nihilist.', url=None, entities={'description': {'urls': []}}, protected=False, followers_count=2, friends_count=16, listed_count=0, created_at=datetime.datetime(2022, 1, 16, 18, 21, 1, tzinfo=datetime.timezone.utc), favourites_count=208, utc_offset=None, time_zone=None, geo_enabled=False, verified=False, statuses_count=365, lang=None, contributors_enabled=False, is_translator=False, is_translation_enabled=False, profile_background_color='F5F8FA', profile_background_image_url=None, profile_background_image_url_https=None, profile_background_tile=False, profile_image_url='http://pbs.twimg.com/profile_images/1489079289156759553/bJ-0bRgW_normal.jpg', profile_image_url_https='https://pbs.twimg.com/profile_images/1489079289156759553/bJ-0bRgW_normal.jpg', profile_banner_url='https://pbs.twimg.com/profile_banners/1482779864104984576/1644380362', profile_link_color='1DA1F2', profile_sidebar_border_color='C0DEED', profile_sidebar_fill_color='DDEEF6', profile_text_color='333333', profile_use_background_image=True, has_extended_profile=True, default_profile=True, default_profile_image=False, following=False, follow_request_sent=False, notifications=False, translator_type='none', withheld_in_countries=[])"
2,2022-02-27 02:50:24+00:00,RT @goldengateblond: everyone who’s polluted my mentions whenever I’ve said Tulsi is trash can kiss my whole ENTIRE ass https://t.co/tTkynV…,"User(_api=<tweepy.api.API object at 0x000002B81A74AE50>, _json={'id': 1494563070370328576, 'id_str': '1494563070370328576', 'name': 'Kev in OMalley', 'screen_name': 'omalley_in', 'location': '', 'description': '', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 3, 'friends_count': 105, 'listed_count': 0, 'created_at': 'Fri Feb 18 06:44:50 +0000 2022', 'favourites_count': 1058, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 333, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1494571241071599618/22AeJ5Hr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1494571241071599618/22AeJ5Hr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1494563070370328576/1645168843', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}, id=1494563070370328576, id_str='1494563070370328576', name='Kev in OMalley', screen_name='omalley_in', location='', description='', url=None, entities={'description': {'urls': []}}, protected=False, followers_count=3, friends_count=105, listed_count=0, created_at=datetime.datetime(2022, 2, 18, 6, 44, 50, tzinfo=datetime.timezone.utc), favourites_count=1058, utc_offset=None, time_zone=None, geo_enabled=False, verified=False, statuses_count=333, lang=None, contributors_enabled=False, is_translator=False, is_translation_enabled=False, profile_background_color='F5F8FA', profile_background_image_url=None, profile_background_image_url_https=None, profile_background_tile=False, profile_image_url='http://pbs.twimg.com/profile_images/1494571241071599618/22AeJ5Hr_normal.jpg', profile_image_url_https='https://pbs.twimg.com/profile_images/1494571241071599618/22AeJ5Hr_normal.jpg', profile_banner_url='https://pbs.twimg.com/profile_banners/1494563070370328576/1645168843', profile_link_color='1DA1F2', profile_sidebar_border_color='C0DEED', profile_sidebar_fill_color='DDEEF6', profile_text_color='333333', profile_use_background_image=True, has_extended_profile=True, default_profile=True, default_profile_image=False, following=False, follow_request_sent=False, notifications=False, translator_type='none', withheld_in_countries=[])"
3,2022-02-27 02:50:16+00:00,"RT @JaworskiForTX: I'm Joe, former mayor of Galveston &amp; grandson of Watergate prosecutor Leon Jaworski. I'm a Democrat running against crim…","User(_api=<tweepy.api.API object at 0x000002B81A74AE50>, _json={'id': 1265036861468225536, 'id_str': '1265036861468225536', 'name': 'BornAgainCassandra', 'screen_name': 'AgainCassandra', 'location': '', 'description': 'Former Capitol Hill staffer who fears for the future of our nation. \nTweets my own. RTs not necessarily endorsements. #BLM #Climatereality #BidenHarris', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 5167, 'friends_count': 5670, 'listed_count': 5, 'created_at': 'Mon May 25 21:48:26 +0000 2020', 'favourites_count': 20468, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 21366, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1265439492997029888/EuQDcApF_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1265439492997029888/EuQDcApF_normal.jpg', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}, id=1265036861468225536, id_str='1265036861468225536', name='BornAgainCassandra', screen_name='AgainCassandra', location='', description='Former Capitol Hill staffer who fears for the future of our nation. \nTweets my own. RTs not necessarily endorsements. #BLM #Climatereality #BidenHarris', url=None, entities={'description': {'urls': []}}, protected=False, followers_count=5167, friends_count=5670, listed_count=5, created_at=datetime.datetime(2020, 5, 25, 21, 48, 26, tzinfo=datetime.timezone.utc), favourites_count=20468, utc_offset=None, time_zone=None, geo_enabled=False, verified=False, statuses_count=21366, lang=None, contributors_enabled=False, is_translator=False, is_translation_enabled=False, profile_background_color='F5F8FA', profile_background_image_url=None, profile_background_image_url_https=None, profile_background_tile=False, profile_image_url='http://pbs.twimg.com/profile_images/1265439492997029888/EuQDcApF_normal.jpg', profile_image_url_https='https://pbs.twimg.com/profile_images/1265439492997029888/EuQDcApF_normal.jpg', profile_link_color='1DA1F2', profile_sidebar_border_color='C0DEED', profile_sidebar_fill_color='DDEEF6', profile_text_color='333333', profile_use_background_image=True, has_extended_profile=True, default_profile=True, default_profile_image=False, following=False, follow_request_sent=False, notifications=False, translator_type='none', withheld_in_countries=[])"
4,2022-02-27 02:50:16+00:00,"RT @thehill: .@RepDanCrenshaw: ""From the Marxist-infused radicalism of the '60s to the critical race theory trends of today, I don't think…","User(_api=<tweepy.api.API object at 0x000002B81A74AE50>, _json={'id': 1483258962610950149, 'id_str': '1483258962610950149', 'name': 'Izzy Malfoy', 'screen_name': 'IzzyIron87', 'location': 'Hogwarts', 'description': 'Ambition_\ncunningness_\nresourcefulness_\nSexySlytherin', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 3, 'friends_count': 64, 'listed_count': 0, 'created_at': 'Tue Jan 18 02:04:54 +0000 2022', 'favourites_count': 189, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 239, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1483261625952088067/PR7oL3ve_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1483261625952088067/PR7oL3ve_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1483258962610950149/1642472104', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}, id=1483258962610950149, id_str='1483258962610950149', name='Izzy Malfoy', screen_name='IzzyIron87', location='Hogwarts', description='Ambition_\ncunningness_\nresourcefulness_\nSexySlytherin', url=None, entities={'description': {'urls': []}}, protected=False, followers_count=3, friends_count=64, listed_count=0, created_at=datetime.datetime(2022, 1, 18, 2, 4, 54, tzinfo=datetime.timezone.utc), favourites_count=189, utc_offset=None, time_zone=None, geo_enabled=False, verified=False, statuses_count=239, lang=None, contributors_enabled=False, is_translator=False, is_translation_enabled=False, profile_background_color='F5F8FA', profile_background_image_url=None, profile_background_image_url_https=None, profile_background_tile=False, profile_image_url='http://pbs.twimg.com/profile_images/1483261625952088067/PR7oL3ve_normal.jpg', profile_image_url_https='https://pbs.twimg.com/profile_images/1483261625952088067/PR7oL3ve_normal.jpg', profile_banner_url='https://pbs.twimg.com/profile_banners/1483258962610950149/1642472104', profile_link_color='1DA1F2', profile_sidebar_border_color='C0DEED', profile_sidebar_fill_color='DDEEF6', profile_text_color='333333', profile_use_background_image=True, has_extended_profile=True, default_profile=True, default_profile_image=False, following=False, follow_request_sent=False, notifications=False, translator_type='none', withheld_in_countries=[])"
5,2022-02-27 02:50:12+00:00,"RT @AmoneyResists: Putin Praise/defense since he invaded Ukraine:
—Donald Trump (before the invasion, when it started, and again tonight at…","User(_api=<tweepy.api.API object at 0x000002B81A74AE50>, _json={'id': 1297857831048294400, 'id_str': '1297857831048294400', 'name': '🌻Fromfarfaraway🌻', 'screen_name': 'Fromfarfaraway2', 'location': '', 'description': ""#resist, #BLM,  wear a damn mask, old school photographer.  No DM's for any reason. I work in Special Education full time. #adhd Followed by @AmyAThatcher 💙"", 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 16263, 'friends_count': 16076, 'listed_count': 13, 'created_at': 'Mon Aug 24 11:26:53 +0000 2020', 'favourites_count': 84117, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 41531, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1315961952229879808/BZf01dwT_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1315961952229879808/BZf01dwT_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1297857831048294400/1613703882', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}, id=1297857831048294400, id_str='1297857831048294400', name='🌻Fromfarfaraway🌻', screen_name='Fromfarfaraway2', location='', description=""#resist, #BLM,  wear a damn mask, old school photographer.  No DM's for any reason. I work in Special Education full time. #adhd Followed by @AmyAThatcher 💙"", url=None, entities={'description': {'urls': []}}, protected=False, followers_count=16263, friends_count=16076, listed_count=13, created_at=datetime.datetime(2020, 8, 24, 11, 26, 53, tzinfo=datetime.timezone.utc), favourites_count=84117, utc_offset=None, time_zone=None, geo_enabled=False, verified=False, statuses_count=41531, lang=None, contributors_enabled=False, is_translator=False, is_translation_enabled=False, profile_background_color='F5F8FA', profile_background_image_url=None, profile_background_image_url_https=None, profile_background_tile=False, profile_image_url='http://pbs.twimg.com/profile_images/1315961952229879808/BZf01dwT_normal.jpg', profile_image_url_https='https://pbs.twimg.com/profile_images/1315961952229879808/BZf01dwT_normal.jpg', profile_banner_url='https://pbs.twimg.com/profile_banners/1297857831048294400/1613703882', profile_link_color='1DA1F2', profile_sidebar_border_color='C0DEED', profile_sidebar_fill_color='DDEEF6', profile_text_color='333333', profile_use_background_image=True, has_extended_profile=True, default_profile=True, default_profile_image=False, following=False, follow_request_sent=False, notifications=False, translator_type='none', withheld_in_countries=[])"
6,2022-02-27 02:50:08+00:00,"RT @MashaKrupenkin: As a life-long progressive Democrat and a Russian-American, I cannot express how much of a betrayal it feels that calls…","User(_api=<tweepy.api.API object at 0x000002B81A74AE50>, _json={'id': 985422372, 'id_str': '985422372', 'name': 'Sean', 'screen_name': 'BigOlSean', 'location': '', 'description': 'Haha yeah I do look tired thanks 🏳️\u200d🌈', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 167, 'friends_count': 644, 'listed_count': 0, 'created_at': 'Sun Dec 02 21:40:44 +0000 2012', 'favourites_count': 79501, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 20614, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '131516', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1288191528586874884/UcPyemTC_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1288191528586874884/UcPyemTC_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/985422372/1370242605', 'profile_link_color': '009999', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'EFEFEF', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}, id=985422372, id_str='985422372', name='Sean', screen_name='BigOlSean', location='', description='Haha yeah I do look tired thanks 🏳️\u200d🌈', url=None, entities={'description': {'urls': []}}, protected=False, followers_count=167, friends_count=644, listed_count=0, created_at=datetime.datetime(2012, 12, 2, 21, 40, 44, tzinfo=datetime.timezone.utc), favourites_count=79501, utc_offset=None, time_zone=None, geo_enabled=False, verified=False, statuses_count=20614, lang=None, contributors_enabled=False, is_translator=False, is_translation_enabled=False, profile_background_color='131516', profile_background_image_url='http://abs.twimg.com/images/themes/theme14/bg.gif', profile_background_image_url_https='https://abs.twimg.com/images/themes/theme14/bg.gif', profile_background_tile=True, profile_image_url='http://pbs.twimg.com/profile_images/1288191528586874884/UcPyemTC_normal.jpg', profile_image_url_https='https://pbs.twimg.com/profile_images/1288191528586874884/UcPyemTC_normal.jpg', profile_banner_url='https://pbs.twimg.com/profile_banners/985422372/1370242605', profile_link_color='009999', profile_sidebar_border_color='FFFFFF', profile_sidebar_fill_color='EFEFEF', profile_text_color='333333', profile_use_background_image=True, has_extended_profile=False, default_profile=False, default_profile_image=False, following=False, follow_request_sent=False, notifications=False, translator_type='none', withheld_in_countries=[])"
7,2022-02-27 02:50:07+00:00,@BlondieforTrump https://t.co/HQwBDFBKLf,"User(_api=<tweepy.api.API object at 0x000002B81A74AE50>, _json={'id': 822948535867994116, 'id_str': '822948535867994116', 'name': 'John Quitalig', 'screen_name': 'ex_democrat_q', 'location': '', 'description': '', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 114, 'friends_count': 119, 'listed_count': 1, 'created_at': 'Sat Jan 21 23:26:35 +0000 2017', 'favourites_count': 14695, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 6440, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/822971169234153472/3WWU4BID_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/822971169234153472/3WWU4BID_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/822948535867994116/1485046587', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}, id=822948535867994116, id_str='822948535867994116', name='John Quitalig', screen_name='ex_democrat_q', location='', description='', url=None, entities={'description': {'urls': []}}, protected=False, followers_count=114, friends_count=119, listed_count=1, created_at=datetime.datetime(2017, 1, 21, 23, 26, 35, tzinfo=datetime.timezone.utc), favourites_count=14695, utc_offset=None, time_zone=None, geo_enabled=False, verified=False, statuses_count=6440, lang=None, contributors_enabled=False, is_translator=False, is_translation_enabled=False, profile_background_color='F5F8FA', profile_background_image_url=None, profile_background_image_url_https=None, profile_background_tile=False, profile_image_url='http://pbs.twimg.com/profile_images/822971169234153472/3WWU4BID_normal.jpg', profile_image_url_https='https://pbs.twimg.com/profile_images/822971169234153472/3WWU4BID_normal.jpg', profile_banner_url='https://pbs.twimg.com/profile_banners/822948535867994116/1485046587', profile_link_color='1DA1F2', profile_sidebar_border_color='C0DEED', profile_sidebar_fill_color='DDEEF6', profile_text_color='333333', profile_use_background_image=True, has_extended_profile=False, default_profile=True, default_profile_image=False, following=False, follow_request_sent=False, notifications=False, translator_type='none', withheld_in_countries=[])"
8,2022-02-27 02:50:01+00:00,@notmoses16 Oh I read it. That GFYS just earned you a block! You must be a democrat. I wouldn't use that language t… https://t.co/FGGgutDxiX,"User(_api=<tweepy.api.API object at 0x000002B81A74AE50>, _json={'id': 1194270390220152832, 'id_str': '1194270390220152832', 'name': 'LWA', 'screen_name': 'ArcherWelcome', 'location': '', 'description': '', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 859, 'friends_count': 903, 'listed_count': 1, 'created_at': 'Tue Nov 12 15:07:18 +0000 2019', 'favourites_count': 2871, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 3436, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1194270553709920261/EHpl4wyf_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1194270553709920261/EHpl4wyf_normal.jpg', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}, id=1194270390220152832, id_str='1194270390220152832', name='LWA', screen_name='ArcherWelcome', location='', description='', url=None, entities={'description': {'urls': []}}, protected=False, followers_count=859, friends_count=903, listed_count=1, created_at=datetime.datetime(2019, 11, 12, 15, 7, 18, tzinfo=datetime.timezone.utc), favourites_count=2871, utc_offset=None, time_zone=None, geo_enabled=False, verified=False, statuses_count=3436, lang=None, contributors_enabled=False, is_translator=False, is_translation_enabled=False, profile_background_color='F5F8FA', profile_background_image_url=None, profile_background_image_url_https=None, profile_background_tile=False, profile_image_url='http://pbs.twimg.com/profile_images/1194270553709920261/EHpl4wyf_normal.jpg', profile_image_url_https='https://pbs.twimg.com/profile_images/1194270553709920261/EHpl4wyf_normal.jpg', profile_link_color='1DA1F2', profile_sidebar_border_color='C0DEED', profile_sidebar_fill_color='DDEEF6', profile_text_color='333333', profile_use_background_image=True, has_extended_profile=True, default_profile=True, default_profile_image=False, following=False, follow_request_sent=False, notifications=False, translator_type='none', withheld_in_countries=[])"
9,2022-02-27 02:50:00+00:00,@dmtschenhoesen @Redpainter1 Im still baffled as to why any American would call themselves a democrat???? Makes zer… https://t.co/SirrV2F1u9,"User(_api=<tweepy.api.API object at 0x000002B81A74AE50>, _json={'id': 1436759945731530754, 'id_str': '1436759945731530754', 'name': 'miguel', 'screen_name': 'miguel76606124', 'location': '', 'description': 'Give me liberty', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 1, 'friends_count': 45, 'listed_count': 0, 'created_at': 'Sat Sep 11 18:34:21 +0000 2021', 'favourites_count': 18, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 219, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png', 'profile_image_url_https': 'https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': True, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}, id=1436759945731530754, id_str='1436759945731530754', name='miguel', screen_name='miguel76606124', location='', description='Give me liberty', url=None, entities={'description': {'urls': []}}, protected=False, followers_count=1, friends_count=45, listed_count=0, created_at=datetime.datetime(2021, 9, 11, 18, 34, 21, tzinfo=datetime.timezone.utc), favourites_count=18, utc_offset=None, time_zone=None, geo_enabled=False, verified=False, statuses_count=219, lang=None, contributors_enabled=False, is_translator=False, is_translation_enabled=False, profile_background_color='F5F8FA', profile_background_image_url=None, profile_background_image_url_https=None, profile_background_tile=False, profile_image_url='http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png', profile_image_url_https='https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png', profile_link_color='1DA1F2', profile_sidebar_border_color='C0DEED', profile_sidebar_fill_color='DDEEF6', profile_text_color='333333', profile_use_background_image=True, has_extended_profile=True, default_profile=True, default_profile_image=True, following=False, follow_request_sent=False, notifications=False, translator_type='none', withheld_in_countries=[])"
